<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Bsquare Corp.,BSQR,20130222,3.44,3.45,2.91,3.12,102200
Sierra Bancorp,BSRR,20130222,12.78,12.85,12.55,12.84,14500
Biospecifics Technologies Corp,BSTC,20130222,15.58,15.65,15.33,15.45,6800
Btu International,BTUI,20130222,3.3,3.31,3.28,3.28,800
Burcon Nutrascience,BUR,20130222,3.31,3.33,3.31,3.33,2300
First Busey Corp.,BUSE,20130222,4.32,4.39,4.23,4.35,210200
Bazaarvoice Inc.,BV,20130222,7.22,7.43,6.63,6.66,1102900
Broadvision,BVSN,20130222,8.22,8.32,8.13,8.21,19700
Broadwind Energy,BWEN,20130222,3.05,3.16,3,3.09,33000
Baldwin & Lyons,BWINA,20130222,23.52,23.52,23.5,23.52,400
Baldwin & Lyons,BWINB,20130222,23.77,23.92,23.43,23.92,14900
Buffalo Wild Wings,BWLD,20130222,76.41,77,75.62,75.96,355900
Broadway Financial Corp.,BYFC,20130222,1.03,1.03,0.93,1.01,2600
CA Inc.,CA,20130222,24.63,24.79,24.41,24.56,2326200
China Automotive Systems,CAAS,20130222,4.8,4.87,4.38,4.5,138800
Camden National Corp.,CAC,20130222,34.12,34.15,33.18,33.47,15600
Cascade Bancorp,CACB,20130222,6.27,6.3,6.16,6.27,3700
Credit Acceptance Corp.,CACC,20130222,108.19,108.19,104.15,106.64,55200
Chart Acquisition Corp.,CACGU,20130222,10.01,10.01,10.01,10.01,1000
Cache,CACH,20130222,4.55,4.85,4.5,4.73,37800
China Advanced Construction,CADC,20130222,0.46,0.47,0.45,0.47,16200
Cadence Pharmaceuticals,CADX,20130222,4.72,4.72,4.45,4.7,281400
Camco Financial Corp.,CAFI,20130222,3.16,3.7,3.16,3.47,107100
The Cheesecake Factory Inc.,CAKE,20130222,33.87,34.64,33.84,34.48,1200200
Callidus Software,CALD,20130222,4.55,4.68,4.5,4.68,164500
China Auto Logistics Inc.,CALI,20130222,2.88,2.92,2.78,2.8,15500
Vocaltec Communications Ltd,CALL,20130222,11.64,12.35,11.6,12.18,262700
Cal-Maine Foods,CALM,20130222,41.13,41.14,40.05,40.19,75800
Calamp,CAMP,20130222,10.2,10.85,9.98,10.83,548700
Camtek Ltd,CAMT,20130222,1.47,1.51,1.46,1.51,23200
Avis Budget Group,CAR,20130222,22.78,23.66,22.7,23.64,1886200
Carbonite Inc.,CARB,20130222,9.89,10,9.82,9.98,52900
Carver Bancorp,CARV,20130222,4.86,4.9,4.86,4.87,2600
Nasdaq Global Auto Index First Trust,CARZ,20130222,30.41,30.41,30.27,30.36,67000
